ХЕЛЬСИНКИ;1000001;ХЕЛЬСИНКИ;Финляндия;
НИИРАЛА;1000002;НИИРАЛА;Финляндия;
ПАСИЛА;1000010;ПАСИЛА;Финляндия;
ТИККУРИЛА;1000018;ТИККУРИЛА;Финляндия;
РИИХИМЯКИ;1000040;РИИХИМЯКИ;Финляндия;
ХЯМЕЕНЛИННА;1000047;ХЯМЕЕНЛИННА;Финляндия;
ЛАХТИ;1000100;ЛАХТИ;Финляндия;
ТУРКУ;1000130;ТУРКУ;Финляндия;
ТАМПЕРЕ;1000160;ТАМПЕРЕ;Финляндия;
ЛАПУА;1000212;ЛАПУА;Финляндия;
ПАРКАНО;1000215;ПАРКАНО;Финляндия;
ПОРИ;1000220;ПОРИ;Финляндия;
ЮВЯСКЮЛЯ;1000240;ЮВЯСКЮЛЯ;Финляндия;
СЕЙНЯЙОКИ;1000280;СЕЙНЯЙОКИ;Финляндия;
ВААСА;1000288;ВААСА;Финляндия;
КОККОЛА;1000312;КОККОЛА;Финляндия;
ЮЛИВИЕСКА;1000320;ЮЛИВИЕСКА;Финляндия;
КЕМИ;1000347;КЕМИ;Финляндия;
ТОРНИО-ИТАЕЙНЕН;1000351;ТОРНИО-ИТАЕЙ;Финляндия;
КОЛАРИ;1000358;КОЛАРИ;Финляндия;
РОВАНИЕМИ;1000364;РОВАНИЕМИ;Финляндия;
КЕМИЯРВИ;1000367;КЕМИЯРВИ;Финляндия;
ОУЛУ;1000370;ОУЛУ;Финляндия;
КАЯНИ;1000387;КАЯНИ;Финляндия;
КОНТИОМЯКИ;1000390;КОНТИОМЯКИ;Финляндия;
ПИЕКСЯМЯКИ;1000400;ПИЕКСЯМЯКИ;Финляндия;
КУОПИО;1000408;КУОПИО;Финляндия;
ИЙСАЛМИ;1000420;ИЙСАЛМИ;Финляндия;
КИТЕЕ;1000453;КИТЕЕ;Финляндия;
ЙОЭНСУУ;1000460;ЙОЭНСУУ;Финляндия;
КОУВОЛА;1000480;КОУВОЛА;Финляндия;
ВАЙНИККАЛА;1000492;ВАЙНИККАЛА;Финляндия;
МИККЕЛИ;1000546;МИККЕЛИ;Финляндия;
ИМАТРАНКОСКИ;1000601;ИМАТРАНКОСКИ;Финляндия;
ИМАТРА ТОВАРНАЯ;1000602;ИМАТРА ТОВАР;Финляндия;
ИМАТРА;1000603;ИМАТРА;Финляндия;
МОСКВА;2000000;МОСКВА;Россия;
МОСКВА КУРСКАЯ;2000001;МОСКВА КУР;Россия;
МОСКВА КУРСКАЯ ТУРИСТИЧЕСКАЯ;2001111;МОСКВА КУР ТУР;Россия;
МОСКВА ЯРОСЛАВСКАЯ;2000002;МОСКВА ЯР;Россия;
МОСКВА ЯР ТУРИСТИЧЕСКАЯ;2001075;МОСК ЯР ТУР;Россия;
МОСКВА КАЗАНСКАЯ;2000003;МОСКВА КАЗ;Россия;
МОСКВА КАЗАНСКАЯ ТУРИСТИЧЕСКАЯ;2001109;МОСКВА КАЗ ТУР;Россия;
МИИТОВСКАЯ;2000004;МИИТОВСКАЯ;Россия;
МОСКВА ПАВЕЛЕЦКАЯ;2000005;МОСКВА ПАВ;Россия;
МОСКВА БЕЛОРУССКАЯ;2000006;МОСКВА БЕЛ;Россия;
МОСКВА КИЕВСКАЯ;2000007;МОСКВА КИВ;Россия;
МОСКВА РИЖСКАЯ;2000008;МОСКВА РИЖ;Россия;
МОСКВА САВЕЛОВСКАЯ;2000009;МОСКВА САВ;Россия;
МОСКВА ЗАПАСНОЙ КОД;2000010;МОС ЗАП К;Россия;
МОСКВА ВК ВОСТОЧНЫЙ;2001025;МОСКВА ВОСТ;Россия;
ЭЛЕКТРОГОРСК;2000011;ЭЛЕКТРОГОР;Россия;
ВАЛЕНТИНОВКА;2000012;ВАЛЕНТИНОВ;Россия;
ТРУДОВАЯ;2000013;ТРУДОВАЯ;Россия;
ОСТ.ПУНКТ 37 КМ;2000014;ОП 37 КМ;Россия;
МЫТИЩИ;2000015;МЫТИЩИ;Россия;
ЦИОЛКОВСКАЯ;2000016;ЦИОЛКОВСК;Россия;
БОРДАВИЧИ;2000017;БОРДАВИЧИ;Россия;
УСАД;2000018;УСАД;Россия;
АЛЕКСАНДРОВ 2;2000019;АЛЕКСАН;Россия;
ТАЛДОМ-САВЕЛОВСКИЙ;2000020;ТАЛДОМ САВ;Россия;
КАРАБАНОВО;2000021;КАРАБАНОВО;Россия;
БЕЛЬКОВО;2000022;БЕЛЬКОВО;Россия;
ОСТ.ПУНКТ 43 КМ;2000023;ОП 43 КМ;Россия;
ХОДЫНИНО;2000024;ХОДЫНИНО;Россия;
ПОДЛИПКИ ДАЧН;2000025;ПОДЛИПКИ Д;Россия;
ДМИТРОВ;2000026;ДМИТРОВ;Россия;
ВЕРБИЛКИ;2000027;ВЕРБИЛКИ;Россия;
ЖИЛЕВО;2000028;ЖИЛЕВО;Россия;
БЛАГОВЕЩЕНСКОЕ;2000029;БЛАГОВЕЩЕН;Россия;
ВОЛОКОЛАМСК;2000030;ВОЛОКОЛАМ;Россия;
БУХОЛОВО;2000031;БУХОЛОВО;Россия;
ИЛЬИНСКИЙ ПОГОСТ;2000032;ИЛЬИН ПОГ;Россия;
КАБАНОВО;2000033;КАБАНОВО;Россия;
КРАСНЫЙ ПРОФИНТЕР;2000034;КРАСН ПРОФ;Россия;
ПУШКИНО;2000035;ПУШКИНО;Россия;
ТОЛСТОПАЛЬЦЕВО;2000036;ТОЛСТОП;Россия;
БИТЦА;2000037;БИТЦА;Россия;
ЧЕРУСТИ;2000038;ЧЕРУСТИ;Россия;
ВОСКРЕСЕНСК;2000039;ВОСКРЕСЕН;Россия;
ШАХОВСКАЯ;2000040;ШАХОВСКАЯ;Россия;
ПЕСКИ;2000041;ПЕСКИ;Россия;
ПОДЛИПКИ;2000042;ПОДЛИПКИ;Россия;
ФРУКТОВАЯ;2000043;ФРУКТОВАЯ;Россия;
АЛПАТЬЕВО;2000044;АЛПАТЬЕВО;Россия;
ТЕКСТИЛЬЩИКИ;2000045;ТЕКСТИЛЬЩ;Россия;
ДИВОВО;2000046;ДИВОВО;Россия;
ДЯГИЛЕВО;2000047;ДЯГИЛЕВО;Россия;
СТЕНЬКИНО 1;2000048;СТЕНЬКИНО;Россия;
ДЕНЕЖНИКОВО;2000049;ДЕНЕЖНИКОВ;Россия;
ГОЛУТВИН;2000050;ГОЛУТВИН;Россия;
ШЕВЦОВО;2000051;ШЕВЦОВО;Россия;
СТАРОЖИЛОВО;2000052;СТАРОЖИЛОВ;Россия;
БИРКИНО;2000053;БИРКИНО;Россия;
ПОДВИСЛОВО;2000054;ПОДВИСЛОВО;Россия;
ОДИНЦОВО;2000055;ОДИНЦОВО;Россия;
РЯЖСК 1;2000056;РЯЖСК 1;Россия;
ЛЕСОК;2000057;ЛЕСОК;Россия;
СЕМХОЗ;2000058;СЕМХОЗ;Россия;
ЛИСТВЯНКА;2000059;ЛИСТВЯНКА;Россия;
ЛУХОВИЦЫ;2000060;ЛУХОВИЦЫ;Россия;
ТЫСЬЯ;2000061;ТЫСЬЯ;Россия;
ПЕРЕВЛЕС;2000062;ПЕРЕВЛЕС;Россия;
ПРОНЯ;2000063;ПРОНЯ;Россия;
ШЕЛУХОВО;2000064;ШЕЛУХОВО;Россия;
ПОДОЛЬСК;2000065;ПОДОЛЬСК;Россия;
ТЫРНИЦА;2000066;ТЫРНИЦА;Россия;
УШИНСКИЙ;2000067;УШИНСКИЙ;Россия;
КАСИМОВ;2000068;КАСИМОВ;Россия;
НАЗАРОВКА;2000069;НАЗАРОВКА;Россия;
РЫБНОЕ;2000070;РЫБНОЕ;Россия;
УНКОСОВО;2000071;УНКОСОВО;Россия;
НИЖНЕМАЛЬЦЕВО;2000072;НИЖНЕМАЛЬЦ;Россия;
СОТНИЦЫНО;2000073;СОТНИЦЫНО;Россия;
БЕРЕСТЯНКИ;2000074;БЕРЕСТЯНКИ;Россия;
ТУШИНО;2000075;ТУШИНО;Россия;
ТАИРОВКА;2000076;ТАИРОВКА;Россия;
КУСТАРЕВКА;2000077;КУСТАРЕВКА;Россия;
СВЕЖЕНЬКАЯ;2000078;СВЕЖЕНЬКАЯ;Россия;
ИЗВЕСТЬ;2000079;ИЗВЕСТЬ;Россия;
РЯЗАНЬ 2;2000080;РЯЗАНЬ 2;Россия;
ВЫША;2000081;ВЫША;Россия;
КУБИНКА 1;2000082;КУБИНКА 1;Россия;
МИХНЕВО;2000083;МИХНЕВО;Россия;
ТУЛА 2;2000084;ТУЛА 2;Россия;
МЫШБОР;2000085;МЫШБОР;Россия;
ОСТ.ПУНКТ 60 КМ;2000086;ОП 60 КМ;Россия;
ВЫШЕГОР;2000087;ВЫШЕГОР;Россия;
ОЖЕРЕЛЬЕ;2000088;ОЖЕРЕЛЬЕ;Россия;
ПУРЛОВО;2000089;ПУРЛОВО;Россия;
КОРАБЛИНО;2000090;КОРАБЛИНО;Россия;
БОГАТИЩЕВО;2000091;БОГАТИЩЕВО;Россия;
КОРОВИНО;2000092;КОРОВИНО;Россия;
УЗУНОВО;2000093;УЗУНОВО;Россия;
СЕРЕБРЯНЫЕ ПРУДЫ;2000094;СЕР ПРУДЫ;Россия;
ОСТ.ПУНКТ 318 КМ;2000095;ОП 318 КМ;Россия;
КОРАБЛЕВКА;2000096;КОРАБЛЕВКА;Россия;
ТРЕПОЛЬЕ;2000097;ТРЕПОЛЬЕ;Россия;
РАЗ'ЕЗД 422 КМ;2000098;РЗД 422 КМ;Россия;
МИХАЙЛОВ;2000099;МИХАЙЛОВ;Россия;
ДОЛГОПРУДНАЯ;2000100;ДОЛГОПРУД;Россия;
ВОСТРЯКОВО ПАВ;2000101;ВОСТРЯКОВО;Россия;
ОСТ.ПУНКТ 14 КМ;2000102;ОП 14 КМ;Россия;
ЧЕХОВСКАЯ;2000103;ЧЕХОВСКАЯ;Россия;
СОВХОЗ;2000104;СОВХОЗ;Россия;
